seeds: 41218238 421491713 1255413673 350530906 944138913 251104806 481818804 233571979 2906248740 266447632 3454130719 50644329 1920342932 127779721 2109326496 538709762 3579244700 267233350 4173137165 60179884

seed-to-soil map:
856886372 936932802 97162803
829640090 282271594 27246282
244444108 1274282332 107584318
1528329058 3192525971 211478915
2566760651 2178128911 792500107
478140779 1162859130 51849897
4274780288 1528329058 20187008
352028426 265852816 16418778
1739807973 2970629018 221896953
188336830 840381853 56107278
529990676 0 265852816
2424714410 1911677980 40332529
795843492 896489131 33796598
969062248 324530949 412804402
954049175 309517876 15013073
3359260758 3868594872 426372424
2465046939 3404004886 101713712
375094277 737335351 103046502
0 1214709027 59573305
2324866840 2078281341 99847570
1961704926 1548516066 247670884
2209375810 1796186950 115491030
59573305 1034095605 128763525
3785633182 3505718598 362876274
368447204 930285729 6647073

temperature-to-humidity map:
645925588 927807414 87140162
0 398577479 157531253
1936153073 3766846194 135269565
3964800672 3492411188 1957783
3660032389 3460150664 32260524
1374126579 1182630672 364804866
2334938774 2586583717 132274954
3729993364 4148156458 139151684
2071422638 2398735028 187848689
461859499 894601505 33205909
1128085880 3902115759 246040699
3966758455 1609937892 328208841
733065750 1045187965 45230417
3692292913 2718858671 37700451
1738931445 2854070578 51145436
3869145048 2758414954 95655624
446537472 670580619 15322027
3468753739 2905216014 191278650
1790076881 1547435538 62502354
3103241907 3096494664 363656000
778296167 1014947576 30240389
2467213728 3653280748 113565446
2739690951 1959797890 363550956
430471457 878535490 16066015
934173831 836762826 41772664
272165118 90734051 80200203
2259271327 1128614382 54016290
1852579235 2323348846 75386182
808536556 272940204 125637275
1927965417 4287308142 7659154
1935624571 1128085880 528502
352365321 194834068 72750816
495065408 685902646 150860180
248265304 170934254 23899814
975946495 556108732 114471887
157531253 0 90734051
3466897907 2756559122 1855832
2580779174 3494368971 158911777
425116137 267584884 5355320
2313287617 1938146733 21651157

humidity-to-location map:
2297594568 1304834363 199636291
964984478 962777545 102011627
3376226732 2612009119 78542873
3210191679 3257561655 73324720
960734175 2732971245 4250303
3552752951 3643184542 128526794
1654967093 1268999863 35834500
2805486965 2087320949 359714826
72263011 1608745500 171195806
4225512580 3861994731 69454716
1240952852 431398165 68767410
3695056291 298067962 76655045
1309720262 500165575 32124036
2768212426 260793423 37274539
258896561 532289611 263781213
1967976997 1084282606 71977571
2255175315 2690551992 42419253
1514000396 0 28227011
0 2539746108 72263011
3283516399 2447035775 92710333
1233825691 3330886375 7127161
614836670 2866104927 345897505
1341844298 88637325 172156098
2039954568 1779941306 215220747
3861994731 3931449447 363517849
1950982711 414403879 16994286
3454769605 3219988623 37573032
1690801593 3433704416 164490238
1855291831 3338013536 95690880
1195879484 1080226916 4055690
522677774 1995162053 92158896
2601505705 796070824 166706721
2497230859 1504470654 104274846
1199935174 380513362 33890517
3492342637 28227011 60410314
1066996105 2737221548 128883379
243458817 1064789172 15437744
3165201791 3598194654 44989888
3689265936 374723007 5790355
3681279745 3212002432 7986191
1542227407 1156260177 112739686
